PunkteGesamt;PunkteJury;PunkteTelevoting;Jahr;Show;Datum;Semi;Startnummer;Land;Interpret;Songtitel;WoerterSongtitel;Blasinstrument;Schlaginstrument;Streichinstrument;Tasteninstrument;Zupfinstrument;ZahlGesamt;ZahlHaupt;ZahlmHaupt;ZahlwHaupt;ZahlmGesamt;ZahlwGesamt;Geschlecht1;Geschlecht2;Geburtsdatum1;Geburtsdatum2;Geburtsdatum3;Geburtsdatum4;Geburtsdatum5;Geburtsdatum6;Alter;Mitverfasser;Vorentscheid;VETeilnehmer;Veroeffentlichung;Dauer;Kuerzel;Englisch;Landessprache;Liebe;Krieg;Gleichberechtigung;Woerterzahl;WoerterHaupt;WoerterNeben;Titelzahl;TitelHaupt;TitelNeben;RaengeQuoten;normiert;WettquoteFinale;WettquoteSemi;Finalquoten;letztesJahrFinale;AbstimmendeLaender;Grenznachbarn;Sprachnachbarn;Flaeche;Einwohner;BIP;Frauenquote;Touristen;TouriproEinw;Festnetzanschluesse;Mobilfunkvertraege
294;130;164;2014;1;06.05.2014;1;14;Niederlande;The Common Linnets;Calm After The Storm;4;0;1;1;0;1;5;2;1;1;4;1;Gruppe;gemischt;13.05.1977;20.04.1980;NA;NA;NA;NA;35,51129363;1;0;0;12.03.2014;55;20141Nld;1;0;1;0;0;179;179;0;5;5;0;11;0,8354;NA;1,57;101;1;18;1;1;41540;16865008;52830,17423;38,66666667;13925000;0,825674082;41,11878374;115,8027134
90;17;73;2014;1;06.05.2014;1;13;Portugal;Suzy;Quero Ser Tua;3;0;1;0;0;0;6;1;0;1;3;3;weiblich;weiblich;24.01.1980;NA;NA;NA;NA;NA;34,28062971;0;1;9;15.03.2014;52;20141Prt;0;1;1;0;0;283;283;0;25;25;0;16;0,5588;NA;3,25;151;0;18;1;0;92225,6;10401062;22074,30076;31,30434783;10497000;1,009223866;44,04364547;114,1810144
131;57;74;2014;1;06.05.2014;1;7;Russland;Tolmachevy Sisters;Shine;1;0;0;0;0;0;3;2;0;2;1;2;Gruppe;weiblich;14.01.1997;14.01.1997;NA;NA;NA;NA;17,30595483;0;0;0;19.03.2014;48;20141Rus;1;0;1;0;0;249;249;0;4;4;0;5,5;5,6248;NA;1,06;15;1;18;4;3;17098250;143819667;14095,64874;13,55555556;32421000;0,22542814;26,41455639;152,7878864
86;25;61;2014;1;06.05.2014;1;12;San Marino;Valentina Monetta;Maybe;1;0;0;0;1;0;6;1;0;1;3;3;weiblich;weiblich;01.03.1975;NA;NA;NA;NA;NA;39,18138261;0;0;0;14.03.2014;53;20141Smr;1;0;1;0;0;264;257;7;18;18;0;14,5;0,8354;NA;2,75;101;0;18;0;0;60;32941;50817,33082;18,33333333;2004000;60,83604019;56,45259196;114,1192182
256;125;131;2014;1;06.05.2014;1;4;Schweden;Sanna Nielsen;Undo;1;0;0;0;0;0;1;1;0;1;0;1;weiblich;weiblich;27.11.1984;NA;NA;NA;NA;NA;29,43737166;0;1;31;08.03.2014;59;20141Swe;1;0;1;0;0;197;197;0;13;13;0;2;14,0621;NA;1,01;6;1;18;1;0;447420;9696110;60020,36046;44,6991404;10522000;1,085177458;38,98594643;127,0363865
212;88;124;2014;1;06.05.2014;1;9;Ukraine;Mariya Yaremchuk;Tick - Tock;2;0;0;0;0;0;2;1;0;1;1;1;weiblich;weiblich;02.03.1993;NA;NA;NA;NA;NA;21,17727584;1;1;19;21.12.2013;136;20141Ukr;1;0;1;0;0;402;374;28;12;10;2;5,5;6,4902;NA;1,06;13;1;18;3;2;603550;45272155;3104,643206;11,66666667;13227000;0,292166344;24,67397985;144,2788474
307;138;169;2014;2;08.05.2014;1;6;Österreich;Conchita Wurst;Rise Like A Phoenix;4;0;0;0;0;0;1;1;1;0;1;0;männlich;männlich;06.11.1988;NA;NA;NA;NA;NA;25,50034223;0;0;0;18.03.2014;51;20142Aut;1;0;0;0;1;189;189;0;5;5;0;4;5,8687;NA;1,13;41;0;17;4;5;83879;8546356;51717,49594;32,24043716;25291000;2,959272935;40,84518388;150,345714
159;71;88;2014;2;08.05.2014;1;10;Belarus;Teo;Cheesecake;1;0;0;0;0;0;5;1;1;0;5;0;männlich;männlich;24.01.1983;NA;NA;NA;NA;NA;31,28542094;1;1;13;10.01.2014;118;20142Blr;1;0;1;0;0;399;371;28;10;10;0;10;1,9097;NA;1,44;126;1;17;2;1;207600;9474511;8318,51269;26,60550459;5375000;0,567311601;47,86303898;120,8889669
163;51;112;2014;2;08.05.2014;1;12;Schweiz;Sebalter;Hunter Of Stars;3;0;1;1;0;1;6;1;1;0;6;0;männlich;männlich;01.07.1985;NA;NA;NA;NA;NA;28,85147159;1;1;17;01.02.2014;96;20142Che;1;0;1;0;0;304;304;0;0;0;0;12;1,9097;NA;1,67;126;0;17;3;5;41290;8188649;89684,70758;31;9158000;1,118377403;53,31097896;135,876155
174;117;57;2014;2;08.05.2014;1;8;Finnland;Softengine;Something Better;2;0;1;0;1;1;5;5;5;0;5;0;Gruppe;männlich;25.02.1994;02.07.1994;NA;NA;NA;NA;20,02327173;1;1;11;01.02.2014;96;20142Fin;1;0;1;0;0;241;241;0;6;6;0;8;4,718;NA;1,25;51;1;17;1;0;338420;5461512;50260,29986;42,5;2731000;0,500044676;11,696611;139,205784
48;33;15;2014;2;08.05.2014;1;4;Georgien;The Shin and Mariko;Three Minutes To Earth;4;0;1;0;0;1;5;5;4;1;4;1;Gruppe;gemischt;02.07.1984;05.11.1954;NA;NA;NA;NA;44,67624914;1;0;0;14.03.2014;55;20142Geo;1;0;1;1;0;240;240;0;1;1;0;14,5;1,9097;NA;1,83;126;1;17;0;1;69700;3719414;4739,188338;12;5004000;1,345373223;27,19403783;133,8376646
152;52;100;2014;2;08.05.2014;1;13;Griechenland;Freaky Fortune feat. RiskyKidd;Rise Up;2;0;0;0;0;0;4;3;3;0;4;0;Gruppe;männlich;30.04.1990;09.02.1991;17.06.1994;NA;NA;NA;22,38466804;1;1;3;11.03.2014;58;20142Grc;1;0;1;0;0;397;383;14;38;37;1;4;4,718;NA;1,13;51;1;17;1;0;131960;10892413;21601,7764;21;24272000;2,228340038;49,70500276;113,4854734
76;33;43;2014;2;08.05.2014;1;9;Irland;Can-Linn feat. Kasey Smith;Heartbeat;1;0;1;0;0;1;6;1;0;1;2;4;weiblich;weiblich;29.03.1990;NA;NA;NA;NA;NA;24,10951403;0;1;4;28.02.2014;69;20142Irl;1;1;0;0;0;248;248;0;16;15;1;6;7,077;NA;1,14;34;1;17;1;2;70280;4657740;55586,9626;15,6626506;8813000;1,892119354;43,712777;106,176478
53;32;21;2014;2;08.05.2014;1;2;Israel;Mei Finegold;Same Heart;2;0;0;0;0;0;3;1;0;1;0;3;weiblich;weiblich;16.12.1982;NA;NA;NA;NA;NA;31,39219713;0;1;2;05.03.2014;64;20142Isr;1;1;1;0;0;265;264;1;11;11;0;4;9,2546;NA;1,13;26;0;17;0;0;22070;8215700;37738,41607;22,5;3251000;0,395705783;43,63263385;120,9541936
78;41;37;2014;2;08.05.2014;1;7;Litauen;Vilija;Attention;1;0;0;0;0;0;5;1;0;1;1;4;weiblich;weiblich;24.06.1986;NA;NA;NA;NA;NA;27,87132101;1;1;43;01.03.2014;68;20142Ltu;1;0;1;0;0;380;379;1;14;13;1;13;1,9097;NA;1,73;126;1;17;2;0;65286;2932367;16551,0182;24,11347518;5217000;1,779108822;19,74405493;143,6175773
96;70;26;2014;2;08.05.2014;1;11;Nordmazedonien;Tijana;To The Sky;3;0;0;0;0;0;5;1;0;1;3;2;weiblich;weiblich;03.02.1976;NA;NA;NA;NA;NA;38,2587269;0;0;0;22.02.2014;75;20142Mkd;1;0;1;0;0;321;321;0;7;7;0;11;2,3824;NA;1,57;101;0;17;1;0;25710;2077780;5468,126225;33,33333333;425000;0,204545236;18,46157548;107,0587046
130;113;17;2014;2;08.05.2014;1;1;Malta;Firelight;Coming Home;2;0;1;1;1;1;6;6;5;1;5;1;Gruppe;gemischt;07.09.1989;27.12.1980;NA;NA;NA;NA;29,01300479;1;1;19;08.02.2014;89;20142Mlt;1;1;0;0;0;298;298;0;5;5;0;8;3,5913;NA;1,25;67;1;17;0;2;320;434558;26754,26845;14,28571429;2162000;4,975170173;53,54779322;126,9718292
150;100;50;2014;2;08.05.2014;1;3;Norwegen;Carl Espen;Silent Storm;2;0;0;1;1;0;6;1;1;0;2;4;männlich;männlich;15.07.1982;NA;NA;NA;NA;NA;31,81382615;0;1;14;15.03.2014;54;20142Nor;1;0;0;0;0;165;165;0;6;6;0;1;32,0824;NA;1,01;7,5;1;17;1;0;625222;5137232;97019,18275;39,64497041;4855000;0,945061465;21,01931736;111,5843116
163;34;129;2014;2;08.05.2014;1;5;Polen;Donatan & Cleo;My Slowianie - We Are Slavic;5;0;0;0;0;0;6;1;0;1;0;6;weiblich;weiblich;25.06.1983;NA;NA;NA;NA;NA;30,86926762;1;0;0;25.02.2014;72;20142Pol;1;1;0;0;0;303;298;5;0;0;0;8;4,718;NA;1,25;51;0;17;3;4;312680;38011735;14271,30585;24,34782609;73750000;1,940190312;25,54912515;149,3926992
227;99;128;2014;2;08.05.2014;1;15;Rumänien;Paula Seling & OVI;Miracle;1;0;0;0;1;0;2;2;1;1;1;1;Gruppe;gemischt;25.12.1978;23.08.1974;NA;NA;NA;NA;37,53730322;1;1;11;01.03.2014;68;20142Rou;1;0;1;0;0;282;280;2;12;9;3;2;16,0412;NA;1,03;15;1;17;0;0;238400;19908979;10043,67745;13,51351351;8442000;0,424029781;22,75911325;114,3944903
112;60;52;2014;2;08.05.2014;1;14;Slowenien;Tinkara Kovac;Round and Round;3;1;0;0;0;0;4;1;0;1;0;4;weiblich;weiblich;03.09.1978;NA;NA;NA;NA;NA;35,67693361;1;1;6;08.03.2014;61;20142Svn;1;1;1;0;0;294;281;13;8;8;0;14,5;1,9097;NA;1,83;126;0;17;2;3;20675;2061980;24214,92207;35,55555556;2675000;1,297296773;37,22788234;112,522346
310;116;194;2014;3;10.05.2014;0;7;Armenien;Aram MP3;Not Alone;2;0;0;0;0;0;1;1;1;0;1;0;männlich;männlich;05.04.1984;NA;NA;NA;NA;NA;30,09445585;1;0;0;14.03.2014;57;20143Arm;1;0;0;0;0;135;135;0;8;8;0;4;33,5407;7;NA;1,83;1;36;2;0;29740;2912403;3986,231624;10,6870229;1204000;0,413404326;19,66660589;118,7723634
542;214;328;2014;3;10.05.2014;0;11;Österreich;Conchita Wurst;Rise Like A Phoenix;4;0;0;0;0;0;1;1;1;0;1;0;männlich;männlich;06.11.1988;NA;NA;NA;NA;NA;25,50581793;0;0;0;18.03.2014;53;20143Aut;1;0;0;0;1;189;189;0;5;5;0;1;1,4971;3,5;NA;41;0;36;5;7;83879;8546356;51717,49594;32,24043716;25291000;2,959272935;40,84518388;150,345714
123;109;14;2014;3;10.05.2014;0;3;Aserbaidschan;Dilara Kazimova;Start A Fire;3;0;0;0;0;0;2;1;0;1;0;2;weiblich;weiblich;20.05.1984;NA;NA;NA;NA;NA;29,97125257;0;0;0;16.03.2014;55;20143Aze;1;0;0;1;0;135;135;0;4;4;0;10,5;4,7215;41;NA;13;1;36;3;1;86600;9535079;7891,313147;15,57377049;2298000;0,24100482;18,88827475;111,0134613
118;62;56;2014;3;10.05.2014;0;2;Belarus;Teo;Cheesecake;1;0;0;0;0;0;5;1;1;0;5;0;männlich;männlich;24.01.1983;NA;NA;NA;NA;NA;31,29089665;1;1;13;10.01.2014;120;20143Blr;1;0;1;0;0;401;371;30;10;10;0;25;0,4871;201;NA;126;1;36;5;4;207600;9474511;8318,51269;26,60550459;5375000;0,567311601;47,86303898;120,8889669
158;26;132;2014;3;10.05.2014;0;20;Schweiz;Sebalter;Hunter Of Stars;3;0;1;1;0;1;6;1;1;0;6;0;männlich;männlich;01.07.1985;NA;NA;NA;NA;NA;28,8569473;1;1;17;01.02.2014;98;20143Che;1;0;1;0;0;304;304;0;0;0;0;15,5;0,4871;67;NA;126;0;36;4;8;41290;8188649;89684,70758;31;9158000;1,118377403;53,31097896;135,876155
88;56;32;2014;3;10.05.2014;0;12;Deutschland;Elaiza;Is It Right;3;0;0;1;1;0;3;3;0;3;0;3;Gruppe;weiblich;11.10.1992;03.09.1985;10.05.1984;NA;NA;NA;26,75245266;1;1;11;13.03.2014;58;20143Deu;1;0;1;0;0;307;307;0;12;10;2;21;1,8053;126;NA;34;1;36;7;6;357380;80982500;47959,99327;36,45007924;32999000;0,407483098;57,72962772;122,1971002
127;85;42;2014;3;10.05.2014;0;23;Dänemark;Basim;Cliche Love Song;3;0;0;0;0;0;6;1;1;0;5;1;männlich;männlich;04.07.1992;NA;NA;NA;NA;NA;21,84804928;1;1;9;08.03.2014;63;20143Dnk;1;0;1;0;0;322;319;3;1;1;0;9;5,58;26;NA;11;1;36;2;1;42920;5643475;62548,98473;39,10614525;28070000;4,973885771;33,05683631;126,4121686
112;83;29;2014;3;10.05.2014;0;19;Spanien;Ruth Lorenzo;Dancing In The Rain;4;0;0;0;0;0;1;1;0;1;0;1;weiblich;weiblich;10.11.1982;NA;NA;NA;NA;NA;31,49623546;1;1;4;22.02.2014;77;20143Esp;1;1;1;0;0;202;188;14;6;6;0;13;1,4971;51;NA;41;1;36;2;0;505940;46480882;29461,55033;39,71428571;107144000;2,305119769;41,12307034;108,6115962
151;114;37;2014;3;10.05.2014;0;18;Finnland;Softengine;Something Better;2;0;1;0;1;1;5;5;5;0;5;0;Gruppe;männlich;25.02.1994;02.07.1994;NA;NA;NA;NA;20,02874743;1;1;11;01.02.2014;98;20143Fin;1;0;1;0;0;248;248;0;6;6;0;15,5;1,2035;67;NA;51;1;36;3;1;338420;5461512;50260,29986;42,5;2731000;0,500044676;11,696611;139,205784
6;5;1;2014;3;10.05.2014;0;14;Frankreich;TWIN TWIN;Moustache;1;0;0;0;0;1;6;3;3;0;5;1;Gruppe;männlich;17.04.1997;NA;NA;NA;NA;NA;17,06228611;1;1;2;02.03.2014;69;20143Fra;0;1;0;0;0;475;475;0;16;16;0;22,5;0,9161;151;NA;67;1;36;5;3;549087;66312067;43011,2631;26,16984402;206599000;3,11555663;60,44999848;101,9183391
73;49;24;2014;3;10.05.2014;0;26;Großbritannien;Molly;Children Of The Universe;4;0;1;0;0;0;6;1;0;1;2;4;weiblich;weiblich;02.04.1987;NA;NA;NA;NA;NA;27,10472279;1;0;0;03.03.2014;68;20143Gbr;1;1;0;0;0;340;328;12;7;7;0;5;4,092;11;NA;15;1;36;1;2;243610;64602298;47452,19914;22,61538462;35337000;0,546992926;50,80485322;119,9282021
93;52;41;2014;3;10.05.2014;0;10;Griechenland;Freaky Fortune feat. RiskyKidd;Rise Up;2;0;0;0;0;0;4;3;3;0;4;0;Gruppe;männlich;30.04.1990;09.02.1991;17.06.1994;NA;NA;NA;22,39014374;1;1;3;11.03.2014;60;20143Grc;1;0;1;0;0;399;385;14;38;37;1;8;1,2035;21;NA;51;1;36;2;0;131960;10892413;21601,7764;21;24272000;2,228340038;49,70500276;113,4854734
231;143;88;2014;3;10.05.2014;0;21;Ungarn;András Kállay Saunders;Running;1;0;0;0;1;0;3;1;1;0;2;1;männlich;männlich;28.01.1985;NA;NA;NA;NA;NA;29,27857632;1;1;29;22.02.2014;77;20143Hun;1;0;0;0;0;278;278;0;24;24;0;7;5,115;15;NA;12;1;36;4;1;93030;9866468;14267,01215;10,05025126;45984000;4,660634383;30,71143054;119,5971623
97;59;38;2014;3;10.05.2014;0;4;Island;Pollapönk;No Prejudice;2;0;1;0;0;1;6;4;4;0;6;0;Gruppe;männlich;07.09.1974;14.12.1974;08.12.1970;09.11.1970;NA;NA;41,49828884;1;1;9;15.02.2014;84;20143Isl;1;0;0;0;1;299;299;0;0;0;0;19,5;0,6077;101;NA;101;1;36;0;0;103000;327386;54576,74481;39,68253968;1102000;3,366057192;52,20271825;112,6152638
60;37;23;2014;3;10.05.2014;0;16;Italien;Emma;La Mia Città;3;0;1;0;1;1;6;1;0;1;4;2;weiblich;weiblich;25.05.1984;NA;NA;NA;NA;NA;29,95756331;1;0;0;24.01.2014;106;20143Ita;0;1;0;0;0;298;291;7;1;1;0;17,5;1,4971;81;NA;41;1;36;5;8;301340;60789140;35518,41529;31,42857143;77694000;1,278090133;34,06978226;148,8415405
135;123;12;2014;3;10.05.2014;0;22;Malta;Firelight;Coming Home;2;0;1;1;1;1;6;6;5;1;5;1;Gruppe;gemischt;07.09.1989;27.12.1980;NA;NA;NA;NA;29,01848049;1;1;19;08.02.2014;91;20143Mlt;1;1;0;0;0;300;300;0;5;5;0;13;0,9161;51;NA;67;1;36;0;2;320;434558;26754,26845;14,28571429;2162000;4,975170173;53,54779322;126,9718292
81;48;33;2014;3;10.05.2014;0;8;Montenegro;Sergej Cetkovic;Moj Svijet;2;0;0;0;0;0;5;1;1;0;2;3;männlich;männlich;08.03.1976;NA;NA;NA;NA;NA;38,17111567;1;0;0;09.03.2014;62;20143Mne;0;1;1;0;0;110;110;0;4;4;0;25;0,6077;201;NA;101;0;36;1;2;13810;621810;7388,147794;17,28395062;1350000;2,171081198;26,27819579;161,701761
442;202;240;2014;3;10.05.2014;0;24;Niederlande;The Common Linnets;Calm After The Storm;4;0;1;1;0;1;5;2;1;1;4;1;Gruppe;gemischt;13.05.1977;20.04.1980;NA;NA;NA;NA;35,52224504;1;0;0;12.03.2014;59;20143Nld;1;0;1;0;0;179;179;0;5;5;0;3;0,6077;4;NA;101;1;36;2;1;41540;16865008;52830,17423;38,66666667;13925000;0,825674082;41,11878374;115,8027134
143;102;41;2014;3;10.05.2014;0;5;Norwegen;Carl Espen;Silent Storm;2;0;0;1;1;0;6;1;1;0;2;4;männlich;männlich;15.07.1982;NA;NA;NA;NA;NA;31,81930185;0;1;14;15.03.2014;56;20143Nor;1;0;0;0;0;166;166;0;6;6;0;10,5;8,1839;41;NA;7,5;1;36;3;0;625222;5137232;97019,18275;39,64497041;4855000;0,945061465;21,01931736;111,5843116
195;23;172;2014;3;10.05.2014;0;9;Polen;Donatan & Cleo;My Slowianie - We Are Slavic;5;0;0;0;0;0;6;1;0;1;0;6;weiblich;weiblich;25.06.1983;NA;NA;NA;NA;NA;30,87474333;1;0;0;25.02.2014;74;20143Pol;1;1;0;0;0;305;299;6;0;0;0;17,5;1,2035;81;NA;51;0;36;5;5;312680;38011735;14271,30585;24,34782609;73750000;1,940190312;25,54912515;149,3926992
157;52;105;2014;3;10.05.2014;0;6;Rumänien;Paula Seling & OVI;Miracle;1;0;0;0;1;0;2;2;1;1;1;1;Gruppe;gemischt;25.12.1978;23.08.1974;NA;NA;NA;NA;37,54277892;1;1;11;01.03.2014;70;20143Rou;1;0;1;0;0;282;281;1;12;9;3;13;4,092;51;NA;15;1;36;3;1;238400;19908979;10043,67745;13,51351351;8442000;0,424029781;22,75911325;114,3944903
204;72;132;2014;3;10.05.2014;0;15;Russland;Tolmachevy Sisters;Shine;1;0;0;0;0;0;3;2;0;2;1;2;Gruppe;weiblich;14.01.1997;14.01.1997;NA;NA;NA;NA;17,31690623;0;0;0;19.03.2014;52;20143Rus;1;0;1;0;0;249;249;0;4;4;0;19,5;4,092;101;NA;15;1;36;10;5;17098250;143819667;14095,64874;13,55555556;32421000;0,22542814;26,41455639;152,7878864
31;16;15;2014;3;10.05.2014;0;25;San Marino;Valentina Monetta;Maybe;1;0;0;0;1;0;6;1;0;1;3;3;weiblich;weiblich;01.03.1975;NA;NA;NA;NA;NA;39,19233402;0;0;0;14.03.2014;57;20143Smr;1;0;1;0;0;270;263;7;18;18;0;25;0,6077;201;NA;101;0;36;1;3;60;32941;50817,33082;18,33333333;2004000;60,83604019;56,45259196;114,1192182
39;21;18;2014;3;10.05.2014;0;17;Slowenien;Tinkara Kovac;Round and Round;3;1;0;0;0;0;4;1;0;1;0;4;weiblich;weiblich;03.09.1978;NA;NA;NA;NA;NA;35,68240931;1;1;6;08.03.2014;63;20143Svn;1;1;1;0;0;294;281;13;8;8;0;22,5;0,4871;151;NA;126;0;36;3;4;20675;2061980;24214,92207;35,55555556;2675000;1,297296773;37,22788234;112,522346
383;199;184;2014;3;10.05.2014;0;13;Schweden;Sanna Nielsen;Undo;1;0;0;0;0;0;1;1;0;1;0;1;weiblich;weiblich;27.11.1984;NA;NA;NA;NA;NA;29,44832307;0;1;31;08.03.2014;63;20143Swe;1;0;1;0;0;195;195;0;13;13;0;2;10,2299;3,75;NA;6;1;36;3;1;447420;9696110;60020,36046;44,6991404;10522000;1,085177458;38,98594643;127,0363865
193;78;115;2014;3;10.05.2014;0;1;Ukraine;Mariya Yaremchuk;Tick - Tock;2;0;0;0;0;0;2;1;0;1;1;1;weiblich;weiblich;02.03.1993;NA;NA;NA;NA;NA;21,18822724;1;1;19;21.12.2013;140;20143Ukr;1;0;1;0;0;402;374;28;12;10;2;6;4,7215;13;NA;13;1;36;6;4;603550;45272155;3104,643206;11,66666667;13227000;0,292166344;24,67397985;144,2788474
121;61;60;2015;4;19.05.2015;1;14;Albanien;Elhaida Dani;I'M ALIVE;2;0;0;0;0;0;4;1;0;1;0;4;weiblich;weiblich;17.02.1993;NA;NA;NA;NA;NA;22,2477755;0;0;0;15.03.2015;65;20151Alb;1;0;1;0;0;328;325;3;9;9;0;8;2,6765;NA;1,28;67;0;19;2;1;28750;2880703;3952,801215;20,71428571;4131000;1,434024958;7,843521202;117,6592183
144;54;90;2015;4;19.05.2015;1;2;Armenien;Genealogy;FACE THE SHADOW;3;0;0;0;0;0;6;6;2;4;2;4;Gruppe;gemischt;17.02.1980;28.10.1986;05.08.1987;05.11.1980;02.04.1982;18.03.1982;32,0702715;0;0;0;12.03.2015;68;20151Arm;1;0;0;1;0;163;163;0;0;0;0;7;6,8972;NA;1,22;26;1;19;1;0;29740;2925559;3607,289299;10,6870229;1192000;0,407443501;18,84655653;118,4217138
277;151;126;2015;4;19.05.2015;1;3;Belgien;Loïc Nottet;RHYTHM INSIDE;2;0;0;0;0;0;6;1;1;0;3;3;männlich;männlich;10.04.1996;NA;NA;NA;NA;NA;19,10472279;1;0;0;10.03.2015;70;20151Bel;1;0;1;0;0;246;246;0;3;3;0;6;5,2743;NA;1,2;34;0;19;2;3;30530;11274196;40991,80814;39,33333333;8355000;0,7410728;39,76554624;113,1658212
